feature,gain
ohe__CodArticulo_ME000122227,0.076935105
ohe__CodArticulo_ME000262587,0.07610283
remainder__ma_30d,0.06347693
ohe__CodArticulo_ME000112575,0.048524667
remainder__es_fin_de_mes,0.039439853
ohe__CodArticulo_ME000112572,0.035651647
ohe__CodArticulo_00000007646,0.03496073
ohe__CodArticulo_ME000094940,0.033871
remainder__Promocion,0.027518086
ohe__CodArticulo_ME000262590,0.022452407
remainder__rolling_std_7d,0.021105569
remainder__EsDomingo,0.018859377
ohe__CodArticulo_ME000044869,0.017683005
remainder__semana_mes,0.016929712
ohe__CodArticulo_ME000262588,0.016746363
ohe__CodArticulo_ME000032499,0.01601248
ohe__Temporada_Otono,0.015866606
remainder__anio,0.015568294
remainder__mes,0.015034033
ohe__CodArticulo_ME000052398,0.014599863
remainder__Precio_log,0.0140771065
remainder__ma_14d,0.013833268
remainder__dia_semana,0.013360306
remainder__ma_7d,0.012802094
ohe__CodArticulo_00000002312,0.011255638
ohe__Temporada_Primavera,0.010994087
remainder__lag_7d,0.0104343165
ohe__CodArticulo_00000002398,0.0102954
remainder__lag_1d,0.010205539
ohe__CodArticulo_ME000122228,0.00969088
ohe__Temporada_Invierno,0.009423082
ohe__CodArticulo_00000007021,0.009198619
ohe__CodArticulo_00000006825,0.008861209
remainder__DiaFestivo,0.008127025
ohe__CodArticulo_ME000004695,0.0071767736
ohe__Temporada_Verano,0.0071743876
ohe__CodArticulo_ME000201462,0.006691207
ohe__CodArticulo_ME000015600,0.006691067
ohe__CodArticulo_ME000035109,0.0066827727
ohe__CodArticulo_ME000107454,0.006242688
ohe__CodArticulo_ME000019178,0.005933441
ohe__CodArticulo_00000003104,0.005619385
ohe__CodArticulo_ME000262597,0.0055889036
ohe__CodArticulo_00000004427,0.005557285
ohe__CodArticulo_ME000291103,0.005385323
ohe__CodArticulo_ME000122232,0.0050343685
ohe__CodArticulo_ME000122235,0.004802464
ohe__CodArticulo_ME000137018,0.0047851545
ohe__CodArticulo_ME000008556,0.0043521794
ohe__CodArticulo_ME000005972,0.0040815957
ohe__CodArticulo_ME000013063,0.003973151
ohe__CodArticulo_ME000013298,0.0039130123
ohe__CodArticulo_ME000126187,0.0036044626
ohe__CodArticulo_00000002089,0.0035845477
ohe__CodArticulo_ME000122237,0.0034076176
ohe__CodArticulo_00000007558,0.0033811529
ohe__CodArticulo_00000007734,0.003176093
ohe__CodArticulo_ME000262589,0.0030442348
ohe__CodArticulo_ME000262472,0.0028173942
ohe__CodArticulo_ME000050866,0.0027652408
ohe__CodArticulo_ME000006731,0.0026038308
ohe__CodArticulo_ME000073663,0.0025928982
